seed,algorithm,success,rmse,trajectoryCost,meanSolveTime,maxSolveTime,totalSolveTime,wheelSpeedViolationRatio,maxWheelSpeedViolation,steeringRateViolationRatio,maxSteeringRateViolation,successRate,elapsedTime
132,e-lmpc,1,0.160604388007578,232.090556940181,0.0113023467741935,0.0184833,0.7007455,0.149193548387097,0.00951224423954278,0,3.25878488638409e-07,1,0.8746636
133,e-lmpc,1,0.0263109752041578,12.2684515126897,0.0110061620481928,0.0202307,1.8270229,0,0,0,1.17438652580404e-07,1,2.2260422
134,e-lmpc,1,0.0261247458328758,15.6942170027798,0.00994847611111111,0.0178208,1.7907257,0,0,0,1.79447290804546e-07,1,2.171458
135,e-lmpc,1,0.0987200447618601,112.062120856159,0.0118315763157895,0.0200669,0.8991998,0.101973684210526,0.011844207741794,0,2.40850781096924e-07,1,1.1171922
136,e-lmpc,1,0.0228739808339457,13.0317383924391,0.0101344005952381,0.0202902,1.7025793,0,0,0,2.58829331301058e-07,1,2.0564553
137,e-lmpc,1,0.016547321160451,9.22776176889662,0.00993906516129032,0.0172675,1.5405551,0,0,0,0,1,1.866758
138,e-lmpc,1,0.13499254288841,189.187780482781,0.010617368852459,0.0210047,0.6476595,0.110655737704918,0.0503364658734462,0,8.98082337386086e-07,1,0.8107139
139,e-lmpc,1,0.0288227549184011,49.8233760081338,0.00991885584415584,0.0144073,0.7637519,0.0292207792207792,0.00172202398864396,0,1.86673645430346e-07,1,0.9521082
140,e-lmpc,1,0.12636242056101,123.218705124605,0.0100231046153846,0.0190861,0.6515018,0.0576923076923077,0.00236673618072825,0,2.51558775588023e-07,1,0.8205791
141,e-lmpc,1,0.0430390700409472,52.8407753264305,0.0100808658536585,0.0159259,0.826631,0.0182926829268293,2.0320254424e-05,0,4.11657062215909e-07,1,1.024515
142,e-lmpc,1,0.0635175121460533,48.5315315171765,0.010572743,0.0188977,1.0572743,0.0825,0.00308097600335211,0,6.74680807222217e-07,1,1.3114414
143,e-lmpc,1,0.0737737535557956,61.1274763021177,0.011203777173913,0.0195531,1.0307475,0.078804347826087,0.0139002994424549,0,1.90496193042122e-07,1,1.2838326
144,e-lmpc,1,0.0872808641994731,150.262905521433,0.0100920944444444,0.0230762,0.9082885,0.0638888888888889,0.00144010411399709,0,3.94607013731729e-08,1,1.1189834
145,e-lmpc,1,0.0584462083717705,66.2428796324578,0.01027223125,0.0206068,0.6574228,0.02734375,0.00417660769030448,0,6.59306188310893e-07,1,0.8312838
146,e-lmpc,1,0.0202954158390621,20.0304110395594,0.0100413271929825,0.016118,1.1447113,0.0109649122807018,0.00130488837133491,0,7.09011693800221e-08,1,1.4079676
147,e-lmpc,1,0.0161317411233476,18.2273520821631,0.00961403367346939,0.0173321,1.8843506,0,0,0,1.35905843556827e-06,1,2.2825404
148,e-lmpc,1,0.0736907411558978,92.0776828975074,0.0110963471698113,0.0170188,0.5881064,0.0424528301886792,0.0123246586945553,0,5.57511253163057e-07,1,0.7494654
149,e-lmpc,1,0.0158039227280296,15.6653636500449,0.00918469679144385,0.0168049,1.7175383,0,0,0,1.16008662232048e-07,1,2.0922412
150,e-lmpc,1,0.142837742574807,108.233444885917,0.0102195411764706,0.0173755,0.868661,0.0176470588235294,0.0042763173269762,0,5.31807018333552e-06,1,1.076795
